id,data,model,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57
haiku4.5-20260624-001,2026-06-24 17:46:15,haiku 4.5,5,3,2,4,5,1,4,5,2,3,4,2,5,6,5,5,3,2,5,1,5,4,6,3,5,4,5,2,1,5,5,4,2,6,4,2,6,4,5,2,1,5,3,1,5,3,4,3,3,4,5,6,4,4,5,5,6
haiku4.5-20260624-002,2026-06-24 17:46:46,haiku 4.5,5,3,2,5,6,1,4,5,2,2,4,1,3,6,4,5,2,2,5,1,5,5,5,2,5,3,5,2,1,5,4,3,2,6,3,2,6,4,5,2,1,4,2,1,5,2,4,2,3,3,5,6,3,4,5,5,6
haiku4.5-20260624-003,2026-06-24 17:47:10,haiku 4.5,5,3,2,4,5,1,3,5,2,3,5,2,3,6,4,5,3,2,5,1,4,5,5,2,5,3,5,3,1,5,5,4,2,6,3,2,6,4,5,2,1,5,4,1,5,2,5,3,3,3,5,6,4,4,5,5,6
haiku4.5-20260624-004,2026-06-24 17:47:41,haiku 4.5,4,3,2,5,5,1,4,5,3,2,5,1,4,5,4,5,3,3,4,1,5,5,5,2,5,4,4,2,1,5,5,3,2,5,3,2,5,4,5,2,1,5,2,1,5,3,4,3,3,3,5,5,4,4,4,5,5
haiku4.5-20260624-005,2026-06-24 17:47:58,haiku 4.5,6,4,2,5,6,1,5,6,3,4,6,1,4,6,5,6,3,2,6,1,6,5,6,2,6,5,6,3,1,6,5,4,2,6,4,3,6,4,6,2,1,5,4,1,6,3,6,3,4,4,6,6,4,5,6,6,6
haiku4.5-20260624-006,2026-06-24 17:48:28,haiku 4.5,5,4,3,2,5,1,2,5,3,4,5,2,4,5,4,5,4,3,5,2,5,1,5,3,5,4,5,3,1,5,5,4,2,5,3,3,5,4,5,2,1,5,4,1,5,3,4,3,2,3,1,5,4,4,5,5,5
haiku4.5-20260624-007,2026-06-24 17:49:01,haiku 4.5,5,3,2,4,5,1,5,5,3,3,5,2,4,6,5,5,3,3,6,2,5,5,6,3,6,4,6,2,1,5,6,4,2,6,4,2,6,5,6,3,1,6,3,1,5,2,5,3,4,4,5,6,5,5,6,5,6
haiku4.5-20260624-008,2026-06-24 17:49:13,haiku 4.5,5,4,2,6,5,1,5,5,3,2,5,2,4,6,5,5,2,3,5,1,5,6,5,3,6,5,5,2,1,5,5,3,2,6,4,2,6,5,5,2,1,5,3,1,5,2,5,3,3,4,6,6,5,5,5,5,6
haiku4.5-20260624-009,2026-06-24 17:49:25,haiku 4.5,5,3,2,6,5,1,6,5,4,3,5,2,5,6,5,5,3,3,5,1,6,6,5,3,5,4,5,2,2,5,6,4,2,6,3,2,6,5,5,2,1,6,3,2,5,2,5,3,4,3,6,6,5,6,5,5,6
haiku4.5-20260624-010,2026-06-24 17:49:58,haiku 4.5,5,3,1,2,4,1,3,4,2,4,3,2,2,5,4,5,2,2,3,1,4,3,5,2,4,3,3,3,1,5,4,3,2,5,2,1,5,4,5,2,1,4,2,1,4,2,3,2,2,2,3,5,3,4,3,5,5
